fips,state,landareasquaremiles,popdensity19
01,Alabama,50645.33,96.81
02,Alaska,553559.49,1.32
04,Arizona,113594.09,64.08
05,Arkansas,52035.44,58
06,California,155779.19,253.64
08,Colorado,103641.9,55.56
09,Connecticut,4842.36,736.27
10,Delaware,1948.55,499.74
11,District of Columbia,61.05,11560.18
12,Florida,53624.74,400.52
13,Georgia,57513.47,184.61
15,Hawaii,6422.63,220.45
16,Idaho,82643.14,21.62
17,Illinois,55518.97,228.24
18,Indiana,35826.11,187.91
19,Iowa,55857.13,56.48
20,Kansas,81758.69,35.63
21,Kentucky,39486.32,113.14
22,Louisiana,43203.89,107.6
23,Maine,30842.91,43.58
24,Maryland,9707.22,622.8
25,Massachusetts,7800.07,883.65
26,Michigan,56538.88,176.64
27,Minnesota,79626.74,70.83
28,Mississippi,46923.22,63.43
29,Missouri,68741.49,89.28
30,Montana,145545.76,7.34
31,Nebraska,76824.15,25.18
32,Nevada,109781.17,28.06
33,New Hampshire,8952.65,151.88
34,New Jersey,7354.2,1207.77
35,New Mexico,116758.67,17.96
36,New York,47126.43,412.8
37,North Carolina,48617.9,215.72
38,North Dakota,69000.78,11.04
39,Ohio,40860.69,286.07
40,Oklahoma,68594.97,57.69
41,Oregon,95988.03,43.94
42,Pennsylvania,44742.67,286.12
44,Rhode Island,1033.81,1024.72
45,South Carolina,30060.71,171.28
46,South Dakota,73717.12,12
47,Tennessee,41234.92,165.62
48,Texas,261231.71,111
49,Utah,82169.59,39.02
50,Vermont,9216.67,67.7
51,Virginia,39483.27,216.18
53,Washington,66455.52,114.59
54,West Virginia,24038.18,74.55
55,Wisconsin,54157.84,107.51
56,Wyoming,97093.14,5.96
