fips,Province/State,PopEst_2019,Per_500K_Factor
01,.Alabama,"4,903,185",9.80637
02,.Alaska,"731,545",1.46309
04,.Arizona,"7,278,717",14.557434
05,.Arkansas,"3,017,804",6.035608
06,.California,"39,512,223",79.024446
08,.Colorado,"5,758,736",11.517472
09,.Connecticut,"3,565,287",7.130574
10,.Delaware,"973,764",1.947528
11,.District of Columbia,"705,749",1.411498
12,.Florida,"21,477,737",42.955474
13,.Georgia,"10,617,423",21.234846
15,.Hawaii,"1,415,872",2.831744
16,.Idaho,"1,787,065",3.57413
17,.Illinois,"12,671,821",25.343642
18,.Indiana,"6,732,219",13.464438
19,.Iowa,"3,155,070",6.31014
20,.Kansas,"2,913,314",5.826628
21,.Kentucky,"4,467,673",8.935346
22,.Louisiana,"4,648,794",9.297588
23,.Maine,"1,344,212",2.688424
24,.Maryland,"6,045,680",12.09136
25,.Massachusetts,"6,892,503",13.785006
26,.Michigan,"9,986,857",19.973714
27,.Minnesota,"5,639,632",11.279264
28,.Mississippi,"2,976,149",5.952298
29,.Missouri,"6,137,428",12.274856
30,.Montana,"1,068,778",2.137556
31,.Nebraska,"1,934,408",3.868816
32,.Nevada,"3,080,156",6.160312
33,.New Hampshire,"1,359,711",2.719422
34,.New Jersey,"8,882,190",17.76438
35,.New Mexico,"2,096,829",4.193658
36,.New York,"19,453,561",38.907122
37,.North Carolina,"10,488,084",20.976168
38,.North Dakota,"762,062",1.524124
39,.Ohio,"11,689,100",23.3782
40,.Oklahoma,"3,956,971",7.913942
41,.Oregon,"4,217,737",8.435474
42,.Pennsylvania,"12,801,989",25.603978
44,.Rhode Island,"1,059,361",2.118722
45,.South Carolina,"5,148,714",10.297428
46,.South Dakota,"884,659",1.769318
47,.Tennessee,"6,829,174",13.658348
48,.Texas,"28,995,881",57.991762
49,.Utah,"3,205,958",6.411916
50,.Vermont,"623,989",1.247978
51,.Virginia,"8,535,519",17.071038
53,.Washington,"7,614,893",15.229786
54,.West Virginia,"1,792,147",3.584294
55,.Wisconsin,"5,822,434",11.644868
56,.Wyoming,"578,759",1.157518
